Exercise,Weight_Sets_Reps,Date,Comments
SQUAT,150 4x4,19.03.24
BENCH,120(5 5 4 3 3),21.03.24,APG
BENCH,140 127 3x4,23.03.24
DEADLIFT,215 210 2x2 200*2,24.03.24,Wanted 225 :(   
SQUAT,140 5x4,27.03.24,Hard
BENCH Paused,140 120 4x4,28.03.24,New Gym 140 was T&G
DEADLIFT,220 220 220 205*2,30.03.24
SQUAT,155 3x2 155*2 155*3,31.03.24
BENCH,125(3 3 2 2 2),02.04.24,shit
BENCH Paused,127(2 2 1) 125 2x2,06.04.24,bruh
DEADLIFT,230 210 210 210,07.04.24
SQUAT,160 2x4,09.04.24,

BENCH,100(5 5 5 4),05.07.24,BW 181 lbs
DEADLIFT C,130 4x4,05.07.24,
